pop_pct,awe
0,33.269145469183
0.01,280.44562977007
0.02,395.67169927325
0.03,500.87546769447
0.04,601.20826826257
0.05,696.97054075583
0.06,786.44353502553
0.07,870.56195283722
0.08,950.55454610975
0.09,1027.5193375189
0.1,1101.7288772595
0.11,1174.2754773714
0.12,1246.3537115805
0.13,1318.3689646888
0.14,1391.7531334233
0.15,1464.462914511
0.16,1539.1396239072
0.17,1614.9465878397
0.18,1691.1001014921
0.19,1769.6861353586
0.2,1850.0697960589
0.21,1933.4031218068
0.22,2019.0517016824
0.23,2107.564226444
0.24,2199.3568863881
0.25,2296.0474193176
0.26,2397.6239719637
0.27,2499.3941350788
0.28,2606.8464893207
0.29,2720.7554109571
0.3,2838.56263874
0.31,2963.6443842234
0.32,3092.7520234035
0.33,3228.5868692907
0.34,3372.5620200829
0.35,3522.6163045074
0.36,3681.526811059
0.37,3846.371657817
0.38,4022.2731994994
0.39,4204.0675326836
0.4,4395.6597917995
0.41,4596.9916215847
0.43,5029.009341967
0.44,5254.2286328742
0.45,5498.6309928124
0.46,5747.53064265
0.47,6021.7184630732
0.48,6310.0055645612
0.49,6612.1339683111
0.5,6925.893854899
0.51,7272.3235474386
0.52,7631.1944552498
0.53,8011.1461708668
0.54,8419.9090757848
0.55,8871.1805980715
0.56,9338.8752869109
0.57,9856.6719047562
0.58,10446.060553866
0.59,11056.863183929
0.6,11766.853742562
0.61,12544.791808716
0.62,13386.304220188
0.63,14366.258215845
0.64,15441.066874207
0.65,16678.209404134
0.66,18013.537838145
0.67,19498.088428072
0.68,21145.078527625
0.69,22906.14266562
0.7,24752.558128645
0.71,26762.122627586
0.72,28820.603672107
0.73,30998.425918299
0.74,33322.159254377
0.75,35803.495043288
0.76,38386.300497931
0.77,41096.887648908
0.78,44087.745611799
0.79,47166.086299281
0.8,50477.093237729
0.81,53929.310713155
0.82,57688.152754854
0.83,61521.319779905
0.84,65640.152302486
0.85,70259.140560959
0.86,75239.164418024
0.87,80693.429603348
0.88,86895.053265255
0.89,93777.997432586
0.9,101126.52470419
0.91,109381.06486666
0.92,118967.71068431
0.93,130052.48167457
0.94,142941.63161199
0.95,158598.26920363
0.96,178780.35330244
0.97,206712.99176643
0.98,250570.85506704
0.99,342152.14041086
1,7386080.2958493
,17772.730570905
